cell,formula,cached_value,ambiguity_flag,upstream_sheets,expected_value_status,safe_to_use_as_gtc_expected,notes
R25,"=IF(Q25=0,"""",IF(Q25<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q25>'Fiscal Terms_PIA'!$W$60,Q25<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q25-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q25,IF(AND(Q25>'Fiscal Terms_PIA'!$W$61,Q25<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q25-'Fiscal Terms_PIA'!$W$61))/Q25,IF(AND(Q25>'Fiscal Terms_PIA'!$W$62,Q25<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q25-'Fiscal Terms_PIA'!$W$62))/Q25,IF(AND(Q25>'Fiscal Terms_PIA'!$W$63,Q25<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q25-'Fiscal Terms_PIA'!$W$63))/Q25,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S25,"=IF(Q25=0,"""",100%-R25)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R26,"=IF(Q26=0,"""",IF(Q26<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q26>'Fiscal Terms_PIA'!$W$60,Q26<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q26-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q26,IF(AND(Q26>'Fiscal Terms_PIA'!$W$61,Q26<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q26-'Fiscal Terms_PIA'!$W$61))/Q26,IF(AND(Q26>'Fiscal Terms_PIA'!$W$62,Q26<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q26-'Fiscal Terms_PIA'!$W$62))/Q26,IF(AND(Q26>'Fiscal Terms_PIA'!$W$63,Q26<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q26-'Fiscal Terms_PIA'!$W$63))/Q26,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S26,"=IF(Q26=0,"""",100%-R26)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R27,"=IF(Q27=0,"""",IF(Q27<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q27>'Fiscal Terms_PIA'!$W$60,Q27<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q27-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q27,IF(AND(Q27>'Fiscal Terms_PIA'!$W$61,Q27<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q27-'Fiscal Terms_PIA'!$W$61))/Q27,IF(AND(Q27>'Fiscal Terms_PIA'!$W$62,Q27<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q27-'Fiscal Terms_PIA'!$W$62))/Q27,IF(AND(Q27>'Fiscal Terms_PIA'!$W$63,Q27<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q27-'Fiscal Terms_PIA'!$W$63))/Q27,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S27,"=IF(Q27=0,"""",100%-R27)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R28,"=IF(Q28=0,"""",IF(Q28<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q28>'Fiscal Terms_PIA'!$W$60,Q28<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q28-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q28,IF(AND(Q28>'Fiscal Terms_PIA'!$W$61,Q28<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q28-'Fiscal Terms_PIA'!$W$61))/Q28,IF(AND(Q28>'Fiscal Terms_PIA'!$W$62,Q28<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q28-'Fiscal Terms_PIA'!$W$62))/Q28,IF(AND(Q28>'Fiscal Terms_PIA'!$W$63,Q28<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q28-'Fiscal Terms_PIA'!$W$63))/Q28,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S28,"=IF(Q28=0,"""",100%-R28)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R29,"=IF(Q29=0,"""",IF(Q29<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q29>'Fiscal Terms_PIA'!$W$60,Q29<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q29-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q29,IF(AND(Q29>'Fiscal Terms_PIA'!$W$61,Q29<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q29-'Fiscal Terms_PIA'!$W$61))/Q29,IF(AND(Q29>'Fiscal Terms_PIA'!$W$62,Q29<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q29-'Fiscal Terms_PIA'!$W$62))/Q29,IF(AND(Q29>'Fiscal Terms_PIA'!$W$63,Q29<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q29-'Fiscal Terms_PIA'!$W$63))/Q29,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S29,"=IF(Q29=0,"""",100%-R29)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R30,"=IF(Q30=0,"""",IF(Q30<='Fiscal Terms_PIA'!$W$60,'Fiscal Terms_PIA'!$X$60,IF(AND(Q30>'Fiscal Terms_PIA'!$W$60,Q30<='Fiscal Terms_PIA'!$W$61),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+(Q30-'Fiscal Terms_PIA'!$W$60)*'Fiscal Terms_PIA'!$X$61)/Q30,IF(AND(Q30>'Fiscal Terms_PIA'!$W$61,Q30<='Fiscal Terms_PIA'!$W$62),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*(Q30-'Fiscal Terms_PIA'!$W$61))/Q30,IF(AND(Q30>'Fiscal Terms_PIA'!$W$62,Q30<='Fiscal Terms_PIA'!$W$63),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*(Q30-'Fiscal Terms_PIA'!$W$62))/Q30,IF(AND(Q30>'Fiscal Terms_PIA'!$W$63,Q30<='Fiscal Terms_PIA'!$W$64),('Fiscal Terms_PIA'!$X$60*'Fiscal Terms_PIA'!$W$60+'Fiscal Terms_PIA'!$X$61*('Fiscal Terms_PIA'!$W$61-'Fiscal Terms_PIA'!$W$60)+'Fiscal Terms_PIA'!$X$62*('Fiscal Terms_PIA'!$W$62-'Fiscal Terms_PIA'!$W$61)+'Fiscal Terms_PIA'!$X$63*('Fiscal Terms_PIA'!$W$63-'Fiscal Terms_PIA'!$W$62)+'Fiscal Terms_PIA'!$X$64*(Q30-'Fiscal Terms_PIA'!$W$63))/Q30,'Fiscal Terms_PIA'!$X$65))))))",,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S30,"=IF(Q30=0,"""",100%-R30)",,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
