cell,formula,cached_value,ambiguity_flag,upstream_sheets,expected_value_status,safe_to_use_as_gtc_expected,notes
S25,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R26,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S26,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R27,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S27,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R28,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S28,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R29,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S29,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R30,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S30,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R31,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S31,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R32,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S32,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R33,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S33,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R34,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S34,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R35,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S35,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R36,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S36,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R37,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S37,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R38,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S38,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R39,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S39,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R40,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S40,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R41,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S41,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R42,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S42,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R43,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S43,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R44,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S44,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R45,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S45,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R46,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S46,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R47,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S47,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R48,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S48,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
R49,,,NO_CACHED_VALUE,Fiscal Terms_PIA,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
S49,,,NO_CACHED_VALUE,,MISSING_CACHE_REQUIRES_EXCEL_RECALC_OR_MANUAL,NO,"Do not fabricate expected output. Open in Excel and recalculate, or validate manually."
