worksheet,sqref,type,operator,formula1,formula2,allow_blank,showDropDown,module_area
YTD Budget APN (2),D309,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D308,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D307,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D306,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D305,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D304,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D303,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D302,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D301,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D300,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D298,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D297,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D292,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D291,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D290,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D286,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D285,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D281,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D280,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D279,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D278,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D276,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D274,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D273,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D265,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D264,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D262,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D261,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D259,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D258,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D253,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D247,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D246,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D245,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D244,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D243,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D242,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D241,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D240,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D239,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D235,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D233,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D232 D248,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D227,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D223,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D222 D359,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D221,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D209,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D206,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D204,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D203,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D202,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D196,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D195,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D194,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D193,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D188,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D182,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D177,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D175,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D173,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D172,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D171,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D169,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D167,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D164,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D162,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D160,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D158,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D147,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D144,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D141,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D140,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D139,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D138,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D136,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D131,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D119,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D115,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D111,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D110,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D108,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D105,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D104,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D100,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D99,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D93,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D92,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D87,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D86,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D85,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D84,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D81,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D76,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D74,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D73,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D72,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D66,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D62,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D54,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D45:D46,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D37,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D34,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D33,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D29,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D27,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D23,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D20 D24 D55:D59 D63 D96 D103 D117 D130 D133 D143 D149 D152 D156 D159 D163 D166 D168 D178 D185 D187 D189 D192 D205 D234 D260 D358 D364 D368 D380 D385 D392:D393 D398 D403 D406,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D15,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D11,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D10,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D8:D9 D12:D14 D17:D19 D21:D22 D25:D26 D28:I28 D30:D32 D35:D36 D38:D39 D44:I44 D47:D51 D53:I53 D61:I61 D64:D65 D67:D69 D71:I71 D75:I75 D77:D80 D83:I83 D88:D91 D94:D95 D97:D98 D101:D102 D106:D107 D109:I109 D112:D114 D116:I116 D118:I118 D120:D128 D132:I132 D134:I134 D137:I137 D142:I142 D146:I146 D148:I148 D150:D151 D154:D155 D157:I157 D165:I165 D170:I170 D176:I176 D179:D181 D183:D184 D190:D191 D197:D198 D200:D201 D207:D208 D218:I218 D224:D226 D229:D231 D236:I236 D238:I238 D249:D252 D254:I254 D256:D257 D263:I263 D266:D271 D275:I275 D277:I277 D282:D284 D287:I287 D289:I289 D293:D296 D299:I299 D311:I311 D313:D316 D320:D324 D331:D332 D334:I334 D336:D337 D345:I345 D352:I354 D356:I356 D361:D362 D365:D366 D370:I370 D374:D379 D381:D382 D384:I384 D386:D388 D390:I390 D394:D397 D399:D402 D404:D405 D407:I407 E8:I15 E17:I27 E29:I39 E45:I51 E54:I59 E62:I69 E72:I74 E76:I81 E84:I108 E110:I115 E117:I117 E119:I128 E130:I131 E133:I133 E136:I136 E138:I141 E143:I144 E147:I147 E149:I152 E154:I156 E158:I160 E162:I164 E166:I169 E171:I173 E175:I175 E177:I185 E187:I198 E200:I209 E221:I227 E229:I235 E239:I253 E256:I262 E264:I271 E273:I274 E276:I276 E278:I286 E290:I298 E300:I309 E312:I316 E318:I332 E336:I344 E346:I351 E357:I368 E371:I382 E385:I388 E391:I406,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D335:I335 D355:I355 D369:I369 D383:I383 D389:I389,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D237:I237 D255:I255 D272:I272 D288:I288 D310:I310 D317:I317 D333:I333,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D220:I220 D228:I228,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D186:I186,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D153:I153,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D135:I135,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D43:I43 D52:I52 D60:I60 D70:I70 D82:I82,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D7:J7 D16:J16 J8:J15 J17:J418,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D210:I212,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D199:I199,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D174:I174,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D161:I161,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D145:I145,textLength,,0,300,True,False,Unclassified — needs human review
YTD Budget APN (2),D129:I129,textLength,,0,300,True,False,Unclassified — needs human review
START,B3414:B3415 B3422:B3423 B3430:B3431 B3435 B3439 B3443:F3443 C3437,list,,#REF!,,True,False,Input / Control
Model Map,AE74:AE77,list,,"""Process, Decision, Subprocess, Start, End, Document, Data, Database, External Data, On-page reference, Off-page reference, Custom 1, Custom 2, Custom 3, Custom 4""",,True,False,Input / Control
Model Map,AA73,,,,,True,False,Input / Control
Model Map,AB73,,,,,True,False,Input / Control
Model Map,AC73,,,,,True,False,Input / Control
Model Map,AD73,,,,,True,False,Input / Control
Model Map,AE73,,,,,True,False,Input / Control
Model Map,AF73,,,,,True,False,Input / Control
Ec_IO,U15,list,,"""Real Price, Nominal Price""",,True,False,Input / Control
Ec_IO,G24:H24,list,,"""R/T (SR), PSC/SC""",,True,False,Input / Control
Ec_IO,C4,list,,$C$28:$C$30,,True,False,Input / Control
Analysis,AE1300,list,,$C$28:$C$30,,True,False,Results / Dashboard
Production Profile,B2,list,,"""STOIIP,GIIP""",,True,False,Production
OML123_Oil_S1,CN1,list,,$B$1:$CI$1,,True,False,Production
Block_TC,FV1,list,,"""0,1""",,True,False,Cost / Capital Allowance
Cap_Allow,GX2,list,,"""SLN, DDB, SYD,VDB,UOP""",,True,False,Cost / Capital Allowance
Cap_Allow Gas,GX2,list,,"""SLN, DDB, SYD,VDB,UOP""",,True,False,Cost / Capital Allowance
FLGT,AP2,list,,"""YES, NO""",,True,False,Fiscal / Royalty
Equity Dash,A4,list,,"""Acquisition,No Acquisition""",,True,False,Results / Dashboard
Equity Dash,A8,list,,"""Project, Equity""",,True,False,Results / Dashboard
HT_NCF_Oil,E1 Q1,list,,"""0,1""",,True,False,Cash Flow / Tax NCF
CIT_NCF_Oil,G1,list,,"""0,1""",,True,False,Cash Flow / Tax NCF
